date,title,skills
2020-10-26,Системный инженер в Тинькофф-журнал,"Администрирование,Средний (Middle),Kubernetes,CI/CD methodologies"
2020-10-23,Site Reliability Engineer(SRE)/Software Engineer,"Администрирование,Средний (Middle),Python,Git,Kubernetes,Docker,HTTP,Rest"
2020-10-23,Разработчик баз данных (Pl/SQL),"Бэкенд,Средний (Middle),Java,SQL,Oracle,Pl/sql"
2020-10-23,Senior QA automation инженер (Интернет-эквайринг),"Тестирование,Средний (Middle),Java,Docker,Git,Автоматизация тестирования,Тестирование ПО,SQL,Java spring framework,Ansible"
2020-10-23,DevOps-инженер/SRE,"Администрирование,Старший (Senior),Docker,Kubernetes,Git,Prometheus,Kafka,Golang"
2020-10-23,Senior Python-разработчик,"Бэкенд,Средний (Middle),Python,PostgreSQL,MySQL,Высоконагруженные системы,Высоконагруженные системы"
2020-10-23,Senior/Middle Android-разработчик,"Приложения,Средний (Middle),Java,Kotlin,Android studio,Разработка под Android,Разработка мобильных приложений"
2020-10-23,QA-инженер (Интернет-эквайринг),"Тестирование,Средний (Middle),Java,SQL,Тестирование ПО,Функциональное тестирование"
2020-10-22,DevOps (Greenplum/Spark),"Администрирование,Средний (Middle),Linux,PostgreSQL,Spark,Hadoop,Python,Python,Bash,Базы данных"
2020-10-22,DevOps (Self-Service Data Preparation),"Администрирование,Linux,Docker,Bash,Python,Ansible"
2020-10-22,Разработчик Java (Lifestyle),"Бэкенд,Средний (Middle),Java EE,Java SE,Spring Boot,PostgreSQL,Oracle,Rabbitmq,Hibernate,Высоконагруженные системы"
2020-10-22,Java-разработчик,"Бэкенд,Средний (Middle),Java,Java spring framework,Kafka,Apache cassandra,PostgreSQL,Oracle plsql,Git,Apache maven"
2020-10-22,DevOps (DWH),"Администрирование,Средний (Middle),Linux,SQL,Docker,Ansible,Python,Bash"
2020-10-22,DevOps (CI/CD),"Администрирование,Средний (Middle),Linux,Teamcity,Jenkins,Prometheus,Elasticsearch,Grafana,SAS,Docker"
