date,title,skills
2020-05-20,Разработчик С/С++,"Бэкенд,Старший (Senior),C++"
2020-03-27,Системный инженер в привлечение Tinkoff.ru,"Администрирование,Kubernetes,Elasticsearch,Kafka,BGP"
2020-03-25,Java/Kotlin-разработчик (BPM),"Бэкенд,Java,Kotlin,Java spring framework"
2020-02-19,Scala Developer,"Бэкенд,Scala,Devops,Высоконагруженные системы,Разработка решений по интеграции"
2020-02-19,Fullstack javascript разработчик в спецпроекты,"Разработка ПО,Старший (Senior),Node.js,ReactJS"
2020-01-30,Developer in Test,"Тестирование,Средний (Middle),Kubernetes,CI/CD methodologies"
2019-11-24,Java разработчик,"Разработка ПО,Java"
2019-11-24,QA Automation Engineer (Java),"Тестирование,Java,Kotlin,Junit,Soap,Rest,Kafka,Teamcity,Git"
2019-11-24,Mobile QA Automation Engineer (iOS/Android),"Тестирование,Java,Kotlin,Swift,Teamcity,Selenium,Junit,Rest"
2019-05-28,Администратор баз данных PostgreSQL,"Администрирование,Старший (Senior),PostgreSQL,Linux,Shell,Python,Perl"
2019-06-06,Team leader/Ведущий разработчик BI,"Аналитика,Ведущий (Lead),Business intelligence"
2019-06-05,Архитектор Java,"Разработка ПО,Старший (Senior),Java,Презентации,Управление проектами,Agile,Проектирование архитектуры приложений"
2018-10-19,Бэкенд-разработчик,"Бэкенд,PHP,Yii framework,Laravel,MySQL,PostgreSQL"
2018-01-10,Java-разработчик,"Бэкенд,ООП,Java EE,SQL,Java spring framework,Hibernate"
2017-08-29,Архитектор \ Teamlead \ Руководитель направления Cloud,"Менеджмент,Облачные вычисления,Управление людьми,Управление проектами,Itil"
2017-08-29,Архитектор комплексных проектов,"Другое,Microsoft exchange server,Itil,Vmware,Управление проектами,Виртуализация"
2017-08-29,Системный архитектор (VMware),"Другое,Vmware,Системы виртуализации,Виртуализация"
2016-08-16,PHP-разработчик,"Бэкенд,PHP,Symfony,JavaScript,JQuery,MySQL,Git,Linux,ООП,Scrum,Kanban"
2016-01-19,Ведущий разработчик (Team leader),"Разработка ПО,.NET,Asp.net,Linux,HTML,JavaScript,Jquery ui,JQuery,WCF,Mssql"
2015-06-06,Верстальщик,"Бэкенд,Фронтенд"
2015-06-06,Pre sale manager,"Менеджмент,Продажи"
2015-06-06,Разработчик,"Бэкенд,Менеджмент"
2020-10-09,"Web разработчик (React, Redux)","Фронтенд,Старший (Senior),JavaScript,Redux,React Native,Typescript"
2020-10-09,Senior Developer & Team Leader,"Фронтенд,Ведущий (Lead),HTML,CSS,Vue.js,Python,Django,PostgreSQL"
2020-10-09,Java Developer (Middle/Senior),"Бэкенд,Средний (Middle),Java,Spring Boot,Hibernate,SQL"
2020-10-09,Java Developer,"Бэкенд,Старший (Senior),Java,Docker,Git,Python,Linux"
2020-10-02,iOS-разработчик,"Приложения,Старший (Senior),Swift,Разработка под iOS,Разработка мобильных приложений"
